ID,SEX,AGE,RACE,MARITAL,SIBS,CHILDS,HOMPOP,ADULTS,BABIES,EDUC,MAEDUC,PAEDUC,SPEDUC,RINCOME,INCOME,WRKSTAT,YEARSJOB,WRKGOVT,WRKSLF,SPWRKSTA,SATJOB1,HEALTH,HAPPY,VOTE12,VOTE16,PRES12,PRES16,OWNGUN,HELL,HEAVEN,ODDS1,ODDS2
879,2,83,1,3,2,1,3,3,0,12,98,3,97,0,9,5,-1,8,1,0,0,0,1,1,1,1,3,0,0,0,0,0
880,2,49,1,1,1,0,2,2,0,17,12,18,17,12,12,1,10,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2
881,2,31,1,1,1,2,4,2,2,17,16,12,16,12,12,7,-1,2,2,1,0,0,2,1,1,2,2,0,0,0,0,0
882,2,42,1,1,2,2,4,2,0,16,16,16,20,11,12,2,2,2,2,1,2,0,2,1,1,1,1,0,1,1,2,1
883,2,25,1,5,2,1,3,2,1,14,97,12,97,0,11,1,0.75,1,2,0,1,4,3,1,2,1,0,2,1,1,2,1
884,1,47,1,1,3,4,5,2,0,16,16,16,16,12,12,1,11,2,2,1,2,0,2,1,1,2,2,0,1,1,2,1
885,2,48,1,1,6,3,5,2,0,16,16,16,13,12,12,2,10,1,2,1,2,1,2,1,1,2,2,1,3,2,2,2
886,2,53,1,2,2,3,2,2,0,12,12,11,97,11,11,3,8,2,2,0,2,2,2,1,2,1,0,1,0,0,0,0
887,1,57,1,3,2,2,3,3,0,18,9,97,97,12,12,1,11,2,1,0,1,0,2,1,1,1,2,0,0,0,0,0
888,2,84,1,2,5,2,1,1,0,12,98,8,97,0,11,7,-1,2,2,0,0,2,2,1,2,1,0,2,1,1,2,1
889,2,83,1,2,0,0,1,1,0,14,6,6,97,0,9,5,-1,2,2,0,0,3,2,1,1,1,1,2,0,0,0,0
890,2,68,1,2,4,1,1,1,0,16,16,97,97,11,12,1,0.75,2,2,0,2,0,2,1,1,1,1,0,0,0,0,0
891,1,64,1,5,3,0,1,1,0,12,12,10,97,0,10,5,-1,2,2,0,0,2,3,1,1,1,2,2,0,0,0,0
